survived,pclass,sex,age,sibsp,parch,ticket_fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,is_child,is_elderly,age_group,total_people,fare_per_person,sex_encoded,class_num,survived_bool,name_length,title,log_fare,family_size,is_alone,embarked_full,fare_rounded
0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,False,False,Adult,2,3.625,0,3,False,3,man,2.1102132003465894,1,False,Southampton,7.25
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,False,False,Adult,2,35.64165,1,1,True,5,woman,4.2805931204649,1,False,Cherbourg,71.28
1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,False,False,Adult,1,7.925,1,3,True,5,woman,2.188856327665703,0,True,Southampton,7.92
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,False,False,Adult,2,26.55,1,1,True,5,woman,3.9908341858524357,1,False,Southampton,53.1
0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,False,False,Adult,1,8.4583,0,3,False,3,man,2.246892662898172,0,True,Queenstown,8.46
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,False,False,Adult,1,51.8625,0,1,False,3,man,3.967694202798607,0,True,Southampton,51.86
0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,True,False,Child,5,4.215,0,3,False,5,child,3.0944457464900235,4,False,Southampton,21.08
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,False,False,Adult,3,3.7111,1,3,True,5,woman,2.495953738718064,2,False,Southampton,11.13
1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,False,False,Teen,2,15.0354,1,2,True,5,child,3.436268471383741,1,False,Cherbourg,30.07
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,True,False,Child,3,5.566666666666666,1,3,True,5,child,2.8735646395797834,2,False,Southampton,16.7
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,False,False,Adult,1,26.55,1,1,True,5,woman,3.3160025355989236,0,True,Southampton,26.55
0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,False,False,Adult,7,4.4678571428571425,0,3,False,3,man,3.4742929367327062,6,False,Southampton,31.28
0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,False,False,Teen,1,7.8542,1,3,False,5,child,2.180891922715322,0,True,Southampton,7.85
1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,False,False,Adult,1,16.0,1,2,True,5,woman,2.833213344056216,0,True,Southampton,16.0
0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,True,False,Child,6,4.854166666666667,0,3,False,5,child,3.405355391810819,5,False,Queenstown,29.12
1,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,False,False,Adult,1,13.0,0,2,True,3,man,2.6390573296152584,0,True,Southampton,13.0
0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,False,False,Adult,2,9.0,1,3,False,5,woman,2.9444389791664403,1,False,Southampton,18.0
1,3,female,28.0,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,False,False,Adult,1,7.225,1,3,True,5,woman,2.1071782966514356,0,True,Cherbourg,7.22
0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,False,False,Adult,1,26.0,0,2,False,3,man,3.295836866004329,0,True,Southampton,26.0
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,False,False,Adult,1,13.0,0,2,True,3,man,2.6390573296152584,0,True,Southampton,13.0
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,False,False,Teen,1,8.0292,1,3,True,5,child,2.2004637699272855,0,True,Queenstown,8.03
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,False,False,Adult,1,35.5,0,1,True,3,man,3.597312260588446,0,True,Southampton,35.5
